अंशय
अकम्पामहि
अकम्पावहि
अकम्पे
अकम्पेताम्
अकम्पेथाम्
अकम्प्यत
अकम्प्यथाः
अकम्प्यध्वम्
अकम्प्यन्त
अकम्प्यामहि
अकम्प्यावहि
अकम्प्ये
अकम्प्येताम्
अकम्प्येथाम्
अकर्
अकरम्
अकरवम्
अकरिष्यत्
अकरिष्यत
अकरिष्यतम्
अकरिष्यताम्
अकरिष्यथाः
अकरिष्यध्वम्
अकरिष्यन्
अकरिष्यन्त
अकरिष्यम्
अकरिष्यः
अकरिष्याम
अकरिष्यामहि
अकरिष्याव
अकरिष्यावहि
अकरिष्ये
अकरिष्येताम्
अकरिष्येथाम्
अकरुणायत
अकरुणायथाः
अकरुणायध्वम्
अकरुणायन्त
अकरुणायामहि
अकरुणायावहि
अकरुणाये
अकरुणायेताम्
अकरुणायेथाम्
अकरोत्
अकरोः
अकर्णयत्
अकर्णयत
अकर्णयतम्
अकर्णयताम्
अकर्णयन्
अकर्णयम्
अकर्णयः
अकर्णयाम
अकर्णयाव
अकर्तिध्वम्
अकर्तिषत
अकर्तिषम्
अकर्तिषाताम्
अकर्तिषाथाम्
अकर्तिषि
अकर्तिषुर्
अकर्तिष्ट
अकर्तिष्टम्
अकर्तिष्टाम्
अकर्तिष्ठाः
अकर्तिष्म
अकर्तिष्महि
अकर्तिष्व
अकर्तिष्वहि
अकर्तीत्
अकर्तीः
अकर्त्रीयत्
अकर्त्रीयत
अकर्त्रीयतम्
अकर्त्रीयताम्
अकर्त्रीयन्
अकर्त्रीयम्
अकर्त्रीयः
अकर्त्रीयाम
अकर्त्रीयाव
अकर्शयत्
अकर्शयत
अकर्शयतम्
अकर्शयताम्
अकर्शयथाः
अकर्शयध्वम्
अकर्शयन्
अकर्शयन्त
अकर्शयम्
अकर्शयः
अकर्शयाम
अकर्शयामहि
अकर्शयाव
अकर्शयावहि
अकर्शये
अकर्शयेताम्
अकर्शयेथाम्
अकर्श्यत
अकर्श्यथाः
अकर्श्यध्वम्
अकर्श्यन्त
अकर्श्यामहि
अकर्श्यावहि
अकर्श्ये
अकर्श्येताम्
अकर्श्येथाम्
अकर्षत्
अकर्षत
अकर्षतम्
अकर्षताम्
अकर्षन्
अकर्षम्
अकर्षयत्
अकर्षयत
अकर्षयतम्
अकर्षयताम्
अकर्षयथाः
अकर्षयध्वम्
अकर्षयन्
अकर्षयन्त
अकर्षयम्
अकर्षयः
अकर्षयाम
अकर्षयामहि
अकर्षयाव
अकर्षयावहि
अकर्षये
अकर्षयेताम्
अकर्षयेथाम्
अकर्षः
अकर्षाम
अकर्षाव
अकर्ष्यत
अकर्ष्यथाः
अकर्ष्यध्वम्
अकर्ष्यन्त
अकर्ष्यामहि
अकर्ष्यावहि
अकर्ष्ये
अकर्ष्येताम्
अकर्ष्येथाम्
अकलङ्कयत्
अकलङ्कयत
अकलङ्कयतम्
अकलङ्कयताम्
अकलङ्कयन्
अकलङ्कयम्
अकलङ्कयः
अकलङ्कयाम
अकलङ्कयाव
अकलयत्
अकलयत
अकलयतम्
अकलयताम्
अकलयथाः
अकलयध्वम्
अकलयन्
अकलयन्त
अकलयम्
अकलयः
अकलयाम
अकलयामहि
अकलयाव
अकलयावहि
अकलये
अकलयेताम्
अकलयेथाम्
अकलहायत
अकलहायथाः
अकलहायध्वम्
अकलहायन्त
अकलहायामहि
अकलहायावहि
अकलहाये
अकलहायेताम्
अकलहायेथाम्
अकलुषयत्
अकलुषयत
अकलुषयतम्
अकलुषयताम्
अकलुषयन्
अकलुषयम्
अकलुषयः
अकलुषयाम
अकलुषयाव
अकलुषायत
अकलुषायथाः
अकलुषायध्वम्
अकलुषायन्त
अकलुषायामहि
अकलुषायावहि
अकलुषाये
अकलुषायेताम्
अकलुषायेथाम्
अकल्पत
अकल्पथाः
अकल्पध्वम्
अकल्पन्त
अकल्पयत्
अकल्पयत
अकल्पयतम्
अकल्पयताम्
अकल्पयथाः
अकल्पयध्वम्
अकल्पयन्
अकल्पयन्त
अकल्पयम्
अकल्पयः
अकल्पयाम
अकल्पयामहि
अकल्पयाव
अकल्पयावहि
अकल्पये
अकल्पयेताम्
अकल्पयेथाम्
अकल्पामहि
अकल्पावहि
अकल्पे
अकल्पेताम्
अकल्पेथाम्
अकल्प्यत
अकल्प्यथाः
अकल्प्यध्वम्
अकल्प्यन्त
अकल्प्यामहि
अकल्प्यावहि
अकल्प्ये
अकल्प्येताम्
अकल्प्येथाम्
अकल्यत
अकल्यथाः
अकल्यध्वम्
अकल्यन्त
अकल्यामहि
अकल्यावहि
अकल्ये
अकल्येताम्
अकल्येथाम्
अकवलयत्
अकवलयत
अकवलयतम्
अकवलयताम्
अकवलयन्
अकवलयम्
अकवलयः
अकवलयाम
अकवलयाव
अकवीयत्
अकवीयत
अकवीयतम्
अकवीयताम्
अकवीयन्
अकवीयम्
अकवीयः
अकवीयाम
अकवीयाव
अकषत्
अकषत
अकषतम्
अकषताम्
अकषन्
अकषम्
अकषः
अकषाम
अकषाव
अकष्टायत
अकष्टायथाः
अकष्टायध्वम्
अकष्टायन्त
अकष्टायामहि
अकष्टायावहि
अकष्टाये
अकष्टायेताम्
अकष्टायेथाम्
अकष्यत
अकष्यथाः
अकष्यध्वम्
अकष्यन्त
अकष्यामहि
अकष्यावहि
अकष्ये
अकष्येताम्
अकष्येथाम्
अकसत्
अकसत
अकसतम्
अकसताम्
अकसन्
अकसम्
अकसः
अकसाम
अकसाव
अकस्यत
अकस्यथाः
अकस्यध्वम्
अकस्यन्त
अकस्यामहि
अकस्यावहि
अकस्ये
अकस्येताम्
अकस्येथाम्
अकाङ्क्षत्
अकाङ्क्षत
अकाङ्क्षतम्
अकाङ्क्षताम्
अकाङ्क्षथाः
अकाङ्क्षध्वम्
अकाङ्क्षन्
अकाङ्क्षन्त
अकाङ्क्षम्
अकाङ्क्षः
अकाङ्क्षाम
अकाङ्क्षामहि
अकाङ्क्षाव
अकाङ्क्षावहि
अकाङ्क्षे
अकाङ्क्षेताम्
अकाङ्क्षेथाम्
अकाङ्क्ष्यत
अकाङ्क्ष्यथाः
अकाङ्क्ष्यध्वम्
अकाङ्क्ष्यन्त
अकाङ्क्ष्यामहि
अकाङ्क्ष्यावहि
अकाङ्क्ष्ये
अकाङ्क्ष्येताम्
अकाङ्क्ष्येथाम्
अकानिषम्
अकानिषुर्
अकानिष्ट
अकानिष्टम्
अकानिष्टाम्
अकानिष्म
अकानिष्व
अकानीत्
अकानीः
अकामयत्
अकामयत
अकामयतम्
अकामयताम्
अकामयथाः
अकामयध्वम्
अकामयन्
अकामयन्त
अकामयम्
अकामयः
अकामयाम
अकामयामहि
अकामयाव
अकामयावहि
अकामये
अकामयेताम्
अकामयेथाम्
अकाम्यत
अकाम्यथाः
अकाम्यध्वम्
अकाम्यन्त
अकाम्यामहि
अकाम्यावहि
अकाम्ये
अकाम्येताम्
अकाम्येथाम्
अकायत्
अकायत
अकायतम्
अकायताम्
अकायन्
अकायम्
अकायः
अकायाम
अकायाव
अकारयत्
अकारयत
अकारयतम्
अकारयताम्
अकारयथाः
अकारयध्वम्
अकारयन्
अकारयन्त
अकारयम्
अकारयः
अकारयाम
अकारयामहि
अकारयाव
अकारयावहि
अकारये
अकारयेताम्
अकारयेथाम्
अकारि
अकारिषम्
अकारिषुर्
अकारिष्ट
अकारिष्टम्
अकारिष्टाम्
अकारिष्म
अकारिष्व
अकारीत्
अकारीः
अकार्यत
अकार्यथाः
अकार्यध्वम्
अकार्यन्त
अकार्यामहि
अकार्यावहि
अकार्ये
अकार्येताम्
अकार्येथाम्
अकार्षम्
अकार्षीत्
अकार्षीः
अकार्षुर्
अकार्ष्ट
अकार्ष्टम्
अकार्ष्टाम्
अकार्ष्म
अकार्ष्व
अकालयत्
अकालयत
अकालयतम्
अकालयताम्
अकालयथाः
अकालयध्वम्
अकालयन्
अकालयन्त
अकालयम्
अकालयः
अकालयाम
अकालयामहि
अकालयाव
अकालयावहि
अकालये
अकालयेताम्
अकालयेथाम्
अकाल्यत
अकाल्यथाः
अकाल्यध्वम्
अकाल्यन्त
अकाल्यामहि
अकाल्यावहि
अकाल्ये
अकाल्येताम्
अकाल्येथाम्
अकाशत
अकाशथाः
अकाशध्वम्
अकाशन्त
अकाशयत्
अकाशयत
अकाशयतम्
अकाशयताम्
अकाशयथाः
अकाशयध्वम्
अकाशयन्
अकाशयन्त
अकाशयम्
अकाशयः
अकाशयाम
अकाशयामहि
अकाशयाव
अकाशयावहि
अकाशये
अकाशयेताम्
अकाशयेथाम्
अकाशामहि
अकाशावहि
अकाशे
अकाशेताम्
अकाशेथाम्
अकाश्यत
अकाश्यथाः
अकाश्यध्वम्
अकाश्यन्त
अकाश्यामहि
अकाश्यावहि
अकाश्ये
अकाश्येताम्
अकाश्येथाम्
अकाषयत्
अकाषयत
अकाषयतम्
अकाषयताम्
अकाषयथाः
अकाषयध्वम्
अकाषयन्
अकाषयन्त
अकाषयम्
अकाषयः
अकाषयाम
अकाषयामहि
अकाषयाव
अकाषयावहि
अकाषये
अकाषयेताम्
अकाषयेथाम्
अकाष्यत
अकाष्यथाः
अकाष्यध्वम्
अकाष्यन्त
अकाष्यामहि
अकाष्यावहि
अकाष्ये
अकाष्येताम्
अकाष्येथाम्
अकासयत्
अकासयत
अकासयतम्
अकासयताम्
अकासयथाः
अकासयध्वम्
अकासयन्
अकासयन्त
अकासयम्
अकासयः
अकासयाम
अकासयामहि
अकासयाव
अकासयावहि
अकासये
अकासयेताम्
अकासयेथाम्
अकास्यत
अकास्यथाः
अकास्यध्वम्
अकास्यन्त
अकास्यामहि
अकास्यावहि
अकास्ये
अकास्येताम्
अकास्येथाम्
अकिरत्
अकिरत
अकिरतम्
अकिरताम्
अकिरथाः
अकिरध्वम्
अकिरन्
अकिरन्त
अकिरम्
अकिरः
अकिराम
अकिरामहि
अकिराव
अकिरावहि
अकिरे
अकिरेताम्
अकिरेथाम्
अकीर्तयत्
अकीर्तयत
अकीर्तयतम्
अकीर्तयताम्
अकीर्तयथाः
अकीर्तयध्वम्
अकीर्तयन्
अकीर्तयन्त
अकीर्तयम्
अकीर्तयः
अकीर्तयाम
अकीर्तयामहि
अकीर्तयाव
अकीर्तयावहि
अकीर्तये
अकीर्तयेताम्
अकीर्तयेथाम्
अकीर्त्यत
अकीर्त्यथाः
अकीर्त्यध्वम्
अकीर्त्यन्त
अकीर्त्यामहि
अकीर्त्यावहि
अकीर्त्ये
अकीर्त्येताम्
अकीर्त्येथाम्
अकीर्यत
अकीर्यथाः
अकीर्यध्वम्
अकीर्यन्त
अकीर्यामहि
अकीर्यावहि
अकीर्ये
अकीर्येताम्
अकीर्येथाम्
अकीलत्
अकीलत
अकीलतम्
अकीलताम्
अकीलन्
अकीलम्
अकीलः
अकीलाम
अकीलाव
अकील्यत
अकील्यथाः
अकील्यध्वम्
अकील्यन्त
अकील्यामहि
अकील्यावहि
अकील्ये
अकील्येताम्
अकील्येथाम्
अकुचत्
अकुचत
अकुचतम्
अकुचताम्
अकुचन्
अकुचम्
अकुचः
अकुचाम
अकुचाव
अकुच्यत
अकुच्यथाः
अकुच्यध्वम्
अकुच्यन्त
अकुच्यामहि
अकुच्यावहि
अकुच्ये
अकुच्येताम्
अकुच्येथाम्
अकुञ्चत्
अकुञ्चत
अकुञ्चतम्
अकुञ्चताम्
अकुञ्चथाः
अकुञ्चध्वम्
अकुञ्चन्
अकुञ्चन्त
अकुञ्चम्
अकुञ्चयत्
अकुञ्चयत
अकुञ्चयतम्
अकुञ्चयताम्
अकुञ्चयथाः
अकुञ्चयध्वम्
अकुञ्चयन्
अकुञ्चयन्त
अकुञ्चयम्
अकुञ्चयः
अकुञ्चयाम
अकुञ्चयामहि
अकुञ्चयाव
अकुञ्चयावहि
अकुञ्चये
अकुञ्चयेताम्
अकुञ्चयेथाम्
अकुञ्चः
अकुञ्चाम
अकुञ्चामहि
अकुञ्चाव
अकुञ्चावहि
अकुञ्चे
अकुञ्चेताम्
अकुञ्चेथाम्
अकुञ्च्यत
अकुञ्च्यथाः
अकुञ्च्यध्वम्
अकुञ्च्यन्त
अकुञ्च्यामहि
अकुञ्च्यावहि
अकुञ्च्ये
अकुञ्च्येताम्
अकुञ्च्येथाम्
अकुटत्
अकुटत
अकुटतम्
अकुटताम्
अकुटन्
अकुटम्
अकुटः
अकुटाम
अकुटाव
अकुट्टयत्
अकुट्टयत
अकुट्टयतम्
अकुट्टयताम्
अकुट्टयन्
अकुट्टयम्
अकुट्टयः
अकुट्टयाम
अकुट्टयाव
अकुट्यत
अकुट्यथाः
अकुट्यध्वम्
अकुट्यन्त
अकुट्यामहि
अकुट्यावहि
अकुट्ये
अकुट्येताम्
अकुट्येथाम्
अकुण्ठत्
अकुण्ठत
अकुण्ठतम्
अकुण्ठताम्
अकुण्ठथाः
अकुण्ठध्वम्
अकुण्ठन्
अकुण्ठन्त
अकुण्ठम्
अकुण्ठः
अकुण्ठाम
अकुण्ठामहि
अकुण्ठाव
अकुण्ठावहि
अकुण्ठे
अकुण्ठेताम्
अकुण्ठेथाम्
अकुण्ठ्यत
अकुण्ठ्यथाः
अकुण्ठ्यध्वम्
अकुण्ठ्यन्त
अकुण्ठ्यामहि
अकुण्ठ्यावहि
अकुण्ठ्ये
अकुण्ठ्येताम्
अकुण्ठ्येथाम्
अकुण्डत्
अकुण्डत
अकुण्डतम्
अकुण्डताम्
अकुण्डथाः
अकुण्डध्वम्
अकुण्डन्
अकुण्डन्त
अकुण्डम्
अकुण्डयत्
अकुण्डयत
अकुण्डयतम्
अकुण्डयताम्
अकुण्डयथाः
अकुण्डयध्वम्
अकुण्डयन्
अकुण्डयन्त
अकुण्डयम्
अकुण्डयः
अकुण्डयाम
अकुण्डयामहि
अकुण्डयाव
अकुण्डयावहि
अकुण्डये
अकुण्डयेताम्
अकुण्डयेथाम्
अकुण्डः
अकुण्डाम
अकुण्डामहि
अकुण्डाव
अकुण्डावहि
अकुण्डे
अकुण्डेताम्
अकुण्डेथाम्
अकुण्ड्यत
अकुण्ड्यथाः
अकुण्ड्यध्वम्
अकुण्ड्यन्त
अकुण्ड्यामहि
अकुण्ड्यावहि
अकुण्ड्ये
अकुण्ड्येताम्
अकुण्ड्येथाम्
अकुत्सत्
अकुत्सत
अकुत्सतम्
अकुत्सताम्
अकुत्सथाः
अकुत्सध्वम्
अकुत्सन्
अकुत्सन्त
अकुत्सम्
अकुत्सयत्
अकुत्सयत
अकुत्सयतम्
अकुत्सयताम्
अकुत्सयथाः
अकुत्सयध्वम्
अकुत्सयन्
अकुत्सयन्त
अकुत्सयम्
अकुत्सयः
अकुत्सयाम
अकुत्सयामहि
अकुत्सयाव
अकुत्सयावहि
अकुत्सये
अकुत्सयेताम्
अकुत्सयेथाम्
अकुत्सः
अकुत्साम
अकुत्सामहि
अकुत्साव
अकुत्सावहि
अकुत्से
अकुत्सेताम्
अकुत्सेथाम्
अकुत्स्यत
अकुत्स्यथाः
अकुत्स्यध्वम्
अकुत्स्यन्त
अकुत्स्यामहि
अकुत्स्यावहि
अकुत्स्ये
अकुत्स्येताम्
अकुत्स्येथाम्
अकुन्थत्
अकुन्थत
अकुन्थतम्
अकुन्थताम्
अकुन्थन्
अकुन्थम्
अकुन्थः
अकुन्थाम
अकुन्थाव
अकुन्थ्यत
अकुन्थ्यथाः
अकुन्थ्यध्वम्
अकुन्थ्यन्त
अकुन्थ्यामहि
अकुन्थ्यावहि
अकुन्थ्ये
अकुन्थ्येताम्
अकुन्थ्येथाम्
अकुप्यत्
अकुप्यत
अकुप्यतम्
अकुप्यताम्
अकुप्यथाः
अकुप्यध्वम्
अकुप्यन्
अकुप्यन्त
अकुप्यम्
अकुप्यः
अकुप्याम
अकुप्यामहि
अकुप्याव
अकुप्यावहि
अकुप्ये
अकुप्येताम्
अकुप्येथाम्
अकुरुत
अकुरुतम्
अकुरुताम्
अकुरुथाः
अकुरुध्वम्
अकुर्म
अकुर्महि
अकुर्व
अकुर्वत
अकुर्वन्
अकुर्वहि
अकुर्वाताम्
अकुर्वाथाम्
अकुर्वि
अकुल्यत
अकुल्यथाः
अकुल्यध्वम्
अकुल्यन्त
अकुल्यामहि
अकुल्यावहि
अकुल्ये
अकुल्येताम्
अकुल्येथाम्
अकुवत
अकुवथाः
अकुवध्वम्
अकुवन्त
अकुवामहि
अकुवावहि
अकुवे
अकुवेताम्
अकुवेथाम्
अकुसुमयत्
अकुसुमयत
अकुसुमयतम्
अकुसुमयताम्
अकुसुमयन्
अकुसुमयम्
अकुसुमयः
अकुसुमयाम
अकुसुमयाव
अकूजत्
अकूजत
अकूजतम्
अकूजताम्
अकूजन्
अकूजम्
अकूजः
अकूजाम
अकूजाव
अकूज्यत
अकूज्यथाः
अकूज्यध्वम्
अकूज्यन्त
अकूज्यामहि
अकूज्यावहि
अकूज्ये
अकूज्येताम्
अकूज्येथाम्
अकृच्छ्रायत
अकृच्छ्रायथाः
अकृच्छ्रायध्वम्
अकृच्छ्रायन्त
अकृच्छ्रायामहि
अकृच्छ्रायावहि
अकृच्छ्राये
अकृच्छ्रायेताम्
अकृच्छ्रायेथाम्
अकृढ्वम्
अकृणवम्
अकृणुत
अकृणुतम्
अकृणुताम्
अकृणुथाः
अकृणुध्वम्
अकृणुम
अकृणुमहि
अकृणुव
अकृणुवहि
अकृणोत्
अकृणोः
अकृण्म
अकृण्महि
अकृण्व
अकृण्वत
अकृण्वन्
अकृण्वहि
अकृण्वाताम्
अकृण्वाथाम्
अकृण्वि
अकृत
अकृतम्
अकृताम्
अकृत्यत
अकृत्यथाः
अकृत्यध्वम्
अकृत्यन्त
अकृत्यामहि
अकृत्यावहि
अकृत्ये
अकृत्येताम्
अकृत्येथाम्
अकृथाः
अकृध्वम्
अकृन्तत्
अकृन्तत
अकृन्ततम्
अकृन्तताम्
अकृन्तन्
अकृन्तम्
अकृन्तः
अकृन्ताम
अकृन्ताव
अकृपत
अकृपथाः
अकृपध्वम्
अकृपन्त
अकृपयत्
अकृपयत
अकृपयतम्
अकृपयताम्
अकृपयथाः
अकृपयध्वम्
अकृपयन्
अकृपयन्त
अकृपयम्
अकृपयः
अकृपयाम
अकृपयामहि
अकृपयाव
अकृपयावहि
अकृपये
अकृपयेताम्
अकृपयेथाम्
अकृपामहि
अकृपावहि
अकृपे
अकृपेताम्
अकृपेथाम्
अकृप्यत
अकृप्यथाः
अकृप्यध्वम्
अकृप्यन्त
अकृप्यामहि
अकृप्यावहि
अकृप्ये
अकृप्येताम्
अकृप्येथाम्
अकृम
अकृमहि
अकृव
अकृवहि
अकृश्यत्
अकृश्यत
अकृश्यतम्
अकृश्यताम्
अकृश्यथाः
अकृश्यध्वम्
अकृश्यन्
अकृश्यन्त
अकृश्यम्
अकृश्यः
अकृश्याम
अकृश्यामहि
अकृश्याव
अकृश्यावहि
अकृश्ये
अकृश्येताम्
अकृश्येथाम्
अकृषत्
अकृषत
अकृषत
अकृषतम्
अकृषताम्
अकृषथाः
अकृषध्वम्
अकृषन्
अकृषन्त
अकृषम्
अकृषः
अकृषाताम्
अकृषाथाम्
अकृषाम
अकृषामहि
अकृषाव
अकृषावहि
अकृषि
अकृषे
अकृषेताम्
अकृषेथाम्
अकृष्महि
अकृष्यत
अकृष्यथाः
अकृष्यध्वम्
अकृष्यन्त
अकृष्यामहि
अकृष्यावहि
अकृष्ये
अकृष्येताम्
अकृष्येथाम्
अकृष्वहि
अकेलायत्
अकेलायत
अकेलायतम्
अकेलायताम्
अकेलायन्
अकेलायम्
अकेलायः
अकेलायाम
अकेलायाव
अकोलत्
अकोलत
अकोलतम्
अकोलताम्
अकोलन्
अकोलम्
अकोलः
अकोलाम
अकोलाव
अक्रण्म
अक्रण्व
अक्रत
अक्रन्
अक्रन्
अक्रन्त
अक्रन्तम्
अक्रन्ताम्
अक्रन्दत्
अक्रन्दत
अक्रन्दतम्
अक्रन्दताम्
अक्रन्दन्
अक्रन्दम्
अक्रन्दः
अक्रन्दाम
अक्रन्दाव
अक्रन्दिध्वम्
अक्रन्दिषत
अक्रन्दिषम्
अक्रन्दिषाताम्
अक्रन्दिषाथाम्
अक्रन्दिषि
अक्रन्दिषुर्
अक्रन्दिष्ट
अक्रन्दिष्टम्
अक्रन्दिष्टाम्
अक्रन्दिष्ठाः
अक्रन्दिष्म
अक्रन्दिष्महि
अक्रन्दिष्व
अक्रन्दिष्वहि
अक्रन्दीत्
अक्रन्दीः
अक्रन्द्यत
अक्रन्द्यथाः
अक्रन्द्यध्वम्
अक्रन्द्यन्त
अक्रन्द्यामहि
अक्रन्द्यावहि
अक्रन्द्ये
अक्रन्द्येताम्
अक्रन्द्येथाम्
अक्रमत्
अक्रमत
अक्रमतम्
अक्रमताम्
अक्रमथाः
अक्रमध्वम्
अक्रमन्
अक्रमन्त
अक्रमम्
अक्रमयत्
अक्रमयत
अक्रमयतम्
अक्रमयताम्
अक्रमयथाः
अक्रमयध्वम्
अक्रमयन्
अक्रमयन्त
अक्रमयम्
अक्रमयः
अक्रमयाम
अक्रमयामहि
अक्रमयाव
अक्रमयावहि
अक्रमये
अक्रमयेताम्
अक्रमयेथाम्
अक्रमः
अक्रमाम
अक्रमामहि
अक्रमाव
अक्रमावहि
अक्रमिध्वम्
अक्रमिषत
अक्रमिषम्
अक्रमिषाताम्
अक्रमिषाथाम्
अक्रमिषि
अक्रमिषुर्
अक्रमिष्ट
अक्रमिष्टम्
अक्रमिष्टाम्
अक्रमिष्ठाः
अक्रमिष्म
अक्रमिष्महि
अक्रमिष्व
अक्रमिष्वहि
अक्रमीत्
अक्रमीः
अक्रमुर्
अक्रमे
अक्रमेताम्
अक्रमेथाम्
अक्रम्यत
अक्रम्यथाः
अक्रम्यध्वम्
अक्रम्यन्त
अक्रम्यामहि
अक्रम्यावहि
अक्रम्ये
अक्रम्येताम्
अक्रम्येथाम्
अक्राताम्
अक्राथाम्
अक्रापयत्
अक्रापयत
अक्रापयतम्
अक्रापयताम्
अक्रापयथाः
अक्रापयध्वम्
अक्रापयन्
अक्रापयन्त
अक्रापयम्
अक्रापयः
अक्रापयाम
अक्रापयामहि
अक्रापयाव
अक्रापयावहि
अक्रापये
अक्रापयेताम्
अक्रापयेथाम्
अक्राप्यत
अक्राप्यथाः
अक्राप्यध्वम्
अक्राप्यन्त
अक्राप्यामहि
अक्राप्यावहि
अक्राप्ये
अक्राप्येताम्
अक्राप्येथाम्
अक्रामत्
अक्रामत
अक्रामतम्
अक्रामताम्
अक्रामथाः
अक्रामध्वम्
अक्रामन्
अक्रामन्त
अक्रामम्
अक्रामयत्
अक्रामयत
अक्रामयतम्
अक्रामयताम्
अक्रामयथाः
अक्रामयध्वम्
अक्रामयन्
अक्रामयन्त
अक्रामयम्
अक्रामयः
अक्रामयाम
अक्रामयामहि
अक्रामयाव
अक्रामयावहि
अक्रामये
अक्रामयेताम्
अक्रामयेथाम्
अक्रामः
अक्रामाम
अक्रामामहि
अक्रामाव
अक्रामावहि
अक्रामि
अक्रामे
अक्रामेताम्
अक्रामेथाम्
अक्राम्यत
अक्राम्यथाः
अक्राम्यध्वम्
अक्राम्यन्त
अक्राम्यामहि
अक्राम्यावहि
अक्राम्ये
अक्राम्येताम्
अक्राम्येथाम्
अक्रि
अक्रियत
अक्रियथाः
अक्रियध्वम्
अक्रियन्त
अक्रियामहि
अक्रियावहि
अक्रिये
अक्रियेताम्
अक्रियेथाम्
अक्रीडत्
अक्रीडत
अक्रीडतम्
अक्रीडताम्
अक्रीडन्
अक्रीडम्
अक्रीडयत्
अक्रीडयत
अक्रीडयतम्
अक्रीडयताम्
अक्रीडयथाः
अक्रीडयध्वम्
अक्रीडयन्
अक्रीडयन्त
अक्रीडयम्
अक्रीडयः
अक्रीडयाम
अक्रीडयामहि
अक्रीडयाव
अक्रीडयावहि
अक्रीडये
अक्रीडयेताम्
अक्रीडयेथाम्
अक्रीडः
अक्रीडाम
अक्रीडाव
अक्रीड्यत
अक्रीड्यथाः
अक्रीड्यध्वम्
अक्रीड्यन्त
अक्रीड्यामहि
अक्रीड्यावहि
अक्रीड्ये
अक्रीड्येताम्
अक्रीड्येथाम्
अक्रीणत
अक्रीणन्
