अंशयितुम्
खडयितुम्
खड्य
खण्डयितुम्
खण्डितुम्
खण्ड्य
खनितुम्
खादितुम्
खाद्य
खानम्
खानयितुम्
खान्य
खाय
खिन्य
खेत्तुम्
खेदयितुम्
खेद्य
खेलयितुम्
खेलायितुम्
खेलितुम्
खेल्य
खेल्य
ख्यातुम्
ख्यापयितुम्
ख्याप्य
ख्याय
गजितुम्
गज्य
गणयितुम्
गणय्य
गत्य
गदयितुम्
गदितुम्
गद्गद्य
गद्गद्यितुम्
गद्य
गन्तुम्
गमयितुम्
गमय्य
गम्य
गरितुम्
गरीतुम्
गर्जितुम्
गर्ज्य
गर्दितुम्
गर्द्य
गर्धयितुम्
गर्धितुम्
गर्ध्य
गर्वयितुम्
गर्वायितुम्
गर्व्य
गर्हयितुम्
गर्हितुम्
गर्ह्य
गलितुम्
गल्भितुम्
गल्भ्य
गल्य
गवेषयितुम्
गवेषितुम्
गवेष्य
गव्यितुम्
गातुम्
गातुम्
गारयितुम्
गार्य
गालयितुम्
गालयितुम्
गाल्य
गाल्य
गाहितुम्
गाह्य
गिरयितुम्
गिरितुम्
गिर्य
गीय
गीर्य
गीर्य
गुञ्जितुम्
गुञ्ज्य
गुण्ठयितुम्
गुण्ठ्य
गुपय्य
गुफ्य
गुम्फितुम्
गुर्य
गुह्य
गूहयितुम्
गूहितुम्
गूह्य
गृध्य
गृभ्य
गृह्य
गोढुम्
गोपयितुम्
गोपायितुम्
गोप्य
गोमयितुम्
गोमय्य
गोरितुम्
ग्य
ग्रथ्य
ग्रन्थितुम्
ग्रसितुम्
ग्रस्य
ग्रहीतुम्
ग्राहयितुम्
ग्राह्य
ग्लपयितुम्
ग्लप्य
ग्लातुम्
ग्लाय
घटयितुम्
घटितुम्
घट्टयितुम्
घट्टितुम्
घट्ट्य
घट्य
घर्तुम्
घर्षितुम्
घाटयितुम्
घाट्य
घातयितुम्
घात्य
घुष्य
घूर्णितुम्
घूर्ण्य
घृत्य
घृष्य
घोषयितुम्
घोषितुम्
घोष्टुम्
घोष्य
घ्रातुम्
घ्राय
चकासितुम्
चकास्य
चक्षितुम्
चक्ष्य
चच्य
चञ्चितुम्
चटितुम्
चट्य
चतितुम्
चत्य
चन्दितुम्
चन्द्य
चपयितुम्
चप्य
चमितुम्
चम्य
चययितुम्
चय्य
चरितुम्
चर्चयितुम्
चर्च्य
चर्तुम्
चर्य
चलितुम्
चल्य
चातयितुम्
चात्य
चापयितुम्
चाप्य
चाययितुम्
चाय्य
चारयितुम्
चार्य
चालयितुम्
चाल्य
चिकित्सितुम्
चिकित्स्य
चिकीर्षितुम्
चिकीर्ष्य
चिकीषितुम्
चिकीष्य
चिक्रीषितुम्
चिक्रीष्य
चिचीषितुम्
चिचीष्य
चित्य
चित्य
चित्रीयितुम्
चित्र्य
चिन्तयितुम्
चिन्त्य
चुक्षूषितुम्
चुक्षूष्य
चुद्य
चुम्बितुम्
चुम्ब्य
चुरय्य
चुर्य
चूर्णयितुम्
चूर्ण्य
चूषितुम्
चूष्य
चेतयितुम्
चेतितुम्
चेतुम्
चेत्य
चेष्टयितुम्
चेष्टितुम्
चेष्ट्य
चोदयितुम्
चोद्य
चोपयितुम्
चोप्य
चोरयितुम्
चोरितुम्
च्युत्य
च्योतुम्
छदितुम्
छद्य
छन्दयितुम्
छन्दितुम्
छन्द्य
छलयितुम्
छल्य
छादयितुम्
छाद्य
छिद्य
छिद्रयितुम्
छिद्र्य
छुरयितुम्
छुर्य
छेत्तुम्
छेदयितुम्
छेद्य
जग्धुम्
जघ्य
जनयितुम्
जनय्य
जनितुम्
जपितुम्
जप्य
जभितुम्
जभितुम्
जभ्य
जभ्य
जमितुम्
जम्य
जयितुम्
जरयितुम्
जरितुम्
जरीतुम्
जर्य
जलायितुम्
जल्पितुम्
जल्प्य
जल्य
जवितुम्
जसितुम्
जस्य
जहितुम्
जागरयितुम्
जागर्तुम्
जागर्त्य
जागर्य
जातुम्
जापयितुम्
जापयितुम्
जाप्य
जाप्य
जाय
जासयितुम्
जास्य
जिगदिषितुम्
जिगदिष्य
जिगमिषितुम्
जिगमिष्य
जिगरिषितुम्
जिगरिष्य
जिगीषितुम्
जिगीष्य
जिघांसितुम्
जिघांस्य
जिघृक्षितुम्
जिघृक्ष्य
जिजीविषितुम्
जिजीविष्य
जिज्ञासितुम्
जिज्ञास्य
जित्य
जिन्वितुम्
जिन्व्य
जिहासितुम्
जिहास्य
जिहीर्षितुम्
जिहीर्ष्य
जिह्मायितुम्
जिह्म्य
जीय
जीर्य
जीवितुम्
जीव्य
जुगुप्सितुम्
जुगुप्स्य
जुष्य
जुहूषितुम्
जुहूष्य
जूय
जृम्भितुम्
जृम्भ्य
जेतुम्
जोषयितुम्
जोषितुम्
जोष्य
ज्ञपयितुम्
ज्ञप्य
ज्ञातुम्
ज्ञापयितुम्
ज्ञाप्तुम्
ज्ञाप्य
ज्ञाय
ज्यातुम्
ज्युत्य
ज्योतयितुम्
ज्योतितुम्
ज्योत्य
ज्वरितुम्
ज्वर्य
ज्वलयितुम्
ज्वलय्य
ज्वलितुम्
ज्वल्य
डम्बयितुम्
डम्ब्य
डयितुम्
डीय
तकितुम्
तक्य
तक्षितुम्
तक्ष्य
तङ्क्तुम्
तच्य
तञ्चितुम्
तत्य
तनितुम्
तनितुम्
तन्त्रयितुम्
तन्त्र्य
तन्द्रयितुम्
तन्द्र्य
तन्य
तन्य
तपय
तपस्यितुम्
तपितुम्
तप्तुम्
तप्य
तमितुम्
तम्य
तरितुम्
तरीतुम्
तरुणयितुम्
तरुणायितुम्
तरुण्य
तर्कयितुम्
तर्क्य
तर्जयितुम्
तर्जितुम्
तर्ज्य
तर्दितुम्
तर्पयितुम्
तर्प्तुम्
तर्प्य
तर्षम्
तर्षितुम्
तविषीयितुम्
तविष्य
ताडयितुम्
ताड्य
तापयितुम्
ताप्य
तारयितुम्
तार्य
तिज्य
तितिक्षितुम्
तितिक्ष्य
तितीर्षितुम्
तितीर्ष्य
तिरय
तिरस्यितुम्
तीर्य
तुद्य
तुप्य
तुलयितुम्
तुलय्य
तुष्टूषितुम्
तुष्टूष्य
तुष्य
तुहिनयितुम्
तुहिन्य
तूर्य
तृदः
तृद्य
तृप्य
तृष्य
तेजयितुम्
तेजितुम्
तेज्य
तोत्तुम्
तोपितुम्
तोलयितुम्
तोषयितुम्
तोष्टुम्
तोष्य
त्यक्तुम्
त्यजितुम्
त्यज्य
त्याजयितुम्
त्याज्य
त्रपयितुम्
त्रपितुम्
त्रप्य
त्रसितुम्
त्रस्य
त्रातुम्
त्राय
त्रासयितुम्
त्रास्य
त्रुट्य
त्रोटयितुम्
त्रोटितुम्
त्रोट्य
त्वक्षितुम्
त्वक्ष्य
त्वरयितुम्
त्वरितुम्
त्वर्य
त्विष्य
त्वेष्टुम्
त्सरितुम्
त्सर्य
दंशितुम्
दक्षितुम्
दक्ष्य
दग्धुम्
दघितुम्
दघ्य
दण्डयितुम्
दण्ड्य
दभितुम्
दभ्य
दमयितुम्
दमितुम्
दम्य
दयितुम्
दय्य
दरितुम्
दरीतुम्
दर्पयितुम्
दर्पितुम्
दर्प्तुम्
दर्प्य
दर्भयितुम्
दर्भितुम्
दर्भ्य
दर्शयितुम्
दर्श्य
दर्हितुम्
दलितुम्
दल्य
दश्य
दसितुम्
दस्य
दहितुम्
दह्य
दातुम्
दातुम्
दातुम्
दान्य
दापयितुम्
दाप्य
दाय
दाय
दायम्
दारयितुम्
दार्य
दावयितुम्
दाव्य
दाशयितुम्
दाशितुम्
दाश्य
दासयितुम्
दास्य
दाहयितुम्
दाह्य
दित्सितुम्
दित्स्य
दिदिक्षितुम्
दिदिक्ष्य
दिदृक्षितुम्
दिदृक्ष्य
दिधिषितुम्
दिधिष्य
दिध्यासितुम्
दिध्यास्य
दिश्य
दिह्य
दीक्षयितुम्
दीक्षितुम्
दीक्ष्य
दीपयितुम्
दीपितुम्
दीप्य
दीय
दीर्य
दीवितुम्
दुःख्य
दुःख्यितुम्
दुत्य
दुदूषितुम्
दुदूष्य
दुद्रूषितुम्
दुद्रूष्य
दुधुक्षितुम्
दुधुक्ष्य
दुर्दिनायितुम्
दुर्दिन्य
दुष्य
दुह्य
दूषयितुम्
दूष्य
दृप्य
दृभ्य
दृश्य
दृह्य
देग्धुम्
देवयितुम्
देवयितुम्
देवयितुम्
देवितुम्
देव्य
देव्य
देव्य
देशयितुम्
देश्य
देष्टुम्
देहयितुम्
देह्य
दोग्धुम्
दोतुम्
दोलयितुम्
दोल्य
दोष्टुम्
दोहयितुम्
दोह्य
द्युत्य
द्यूय
द्यूय
द्योतयितुम्
द्योतितुम्
द्योत्य
द्रष्टुम्
द्रातुम्
द्रातुम्
द्रापयितुम्
द्राप्य
द्राय
द्राय
द्रारयितुम्
द्रार्य
द्रावयितुम्
द्राव्य
द्रुत्य
द्रुह्य
द्रोग्धुम्
द्रोतुम्
द्रोहितुम्
द्विष्य
द्वेष्टुम्
धनायितुम्
धनीयितुम्
धन्य
धर्तुम्
धर्षयितुम्
धर्षितुम्
धर्ष्य
धवितुम्
धातुम्
धातुम्
धापयितुम्
धाप्य
धाय
धारयितुम्
धारय्य
धारितुम्
धावितुम्
धावितुम्
धाव्य
धाव्य
धित्सितुम्
धित्स्य
धीय
धीय
धीरयितुम्
धीर्य
धुक्षयितुम्
धुक्षितुम्
धुक्ष्य
धुय
धूमायितुम्
धूम्य
धूय
धूर्त्य
धृत्य
धृष्य
धेतुम्
ध्मातुम्
ध्माय
ध्यातुम्
ध्याय
ध्रुत्य
ध्रोतुम्
ध्वंसयितुम्
ध्वंसितुम्
ध्वंस्य
ध्वनयितुम्
ध्वनितुम्
ध्वर्तुम्
ध्वस्य
ध्वाङ्क्षितुम्
ध्वाङ्क्ष्य
ध्वान्य
ध्वारयितुम्
ध्वार्य
नंष्टुम्
नक्षितुम्
नक्ष्य
नटितुम्
नट्य
नत्य
नदयितुम्
नदितुम्
नद्धुम्
नद्य
नन्तुम्
नन्दयितुम्
नन्दितुम्
नन्द्य
नमय
नमस्यितुम्
नमितुम्
नम्य
नयितुम्
नर्तयितुम्
नर्तितुम्
नर्त्तुम्
नर्त्य
नर्दितुम्
नर्द्य
नवितुम्
नशितुम्
नश्य
नष्टुम्
नह्य
नाटयितुम्
नाट्य
नाथितुम्
नाथ्य
नादयितुम्
नाद्य
नामयितुम्
नाम्य
नाययितुम्
नाय्य
नाव्यितुम्
नाशयितुम्
नाश्य
निकषायितुम्
निकष्य
निज्य
निञ्जितुम्
निनदिषितुम्
निनदिष्य
निनर्तिषितुम्
निनर्तिष्य
निनीषितुम्
निनीष्य
निनृत्सितुम्
निनृत्स्य
निन्दितुम्
निन्द्य
नीय
नीहारायितुम्
नीहार्य
नुत्य
नुद्य
नुनुत्सितुम्
नुनुत्स्य
नूतनयितुम्
नूतन्य
नृत्य
नेक्तुम्
नेजयितुम्
नेज्य
नेतुम्
नेनिक्षितुम्
नेनिक्ष्य
नोत्तुम्
नोदयितुम्
नोद्य
न्य
पक्तुम्
पक्य
पटपटायितुम्
पटपट्य
पटितुम्
पट्य
पठितुम्
पठ्य
पणयितुम्
पणितुम्
पण्य
पतितुम्
पत्तुम्
पत्य
पत्य
पथितुम्
पथ्य
पद्य
पयय
पयस्यितुम्
पयायितुम्
परोक्षायितुम्
परोक्ष्य
पर्चितुम्
पर्तुम्
पर्थयितुम्
पर्षितुम्
पलायितुम्
पलाय्य
पवितुम्
पवित्रयितुम्
पवित्र्य
पाचयितुम्
पाच्य
पाटयितुम्
पाट्य
पाठयितुम्
पाठ्य
पातयितुम्
पातुम्
पातुम्
पात्य
पाथयितुम्
पाथ्य
पादयितुम्
पाद्य
पायम्
पाययितुम्
पाय्य
पारयितुम्
पारयितुम्
पारय्य
पार्य
पालयितुम्
पाल्य
पावयितुम्
पाव्य
पाशयितुम्
पाश्य
पिज्य
पिञ्जितुम्
पिण्डयितुम्
पिण्ड्य
पिपक्षितुम्
पिपक्ष्य
पिपठिषितुम्
पिपठिष्य
पिपतिषितुम्
पिपतिष्य
पिपासितुम्
पिपासितुम्
पिपास्य
पिपास्य
पिप्रीषितुम्
पिप्रीष्य
पिश्य
पिष्य
पीडयितुम्
पीड्य
पीय
पीय
पीयूषवर्षायितुम्
पीयूषवर्ष्य
पुत्रकाम्य
पुत्रकाम्यितुम्
पुत्रियितुम्
पुत्रीयितुम्
पुत्र्य
पुथ्य
पुपूर्षितुम्
पुपूर्ष्य
पुलकयितुम्
पुलक्य
पुष्करायितुम्
पुष्कर्य
पुष्पायितुम्
पुष्प्य
पुष्प्यितुम्
पुष्य
पूजयितुम्
पूज्य
पूय
पूय
पूयितुम्
पूरयितुम्
पूरय्य
पूरितुम्
पूर्य
पूलत्य
पूलयितुम्
पूलेतुम्
पूल्य
पृच्छम्
पृच्छ्य
पृच्य
पृथय्य
पृष्य
पेतुम्
पेशितुम्
पेष्टुम्
पोथयितुम्
पोथितुम्
पोथ्य
पोषयितुम्
पोष्टुम्
पोष्य
प्यातुम्
प्याय
प्रच्छयितुम्
प्रच्छ्य
प्रतिकूलयितुम्
प्रतिकूल्य
प्रथयितुम्
प्रथितुम्
प्रथ्य
प्रष्टुम्
प्रसादयितुम्
प्रसाद्य
प्रावयितुम्
प्राव्य
प्रासादीयितुम्
प्रासाद्य
प्रित्य
प्रियायितुम्
प्रिय्य
प्रीणयितुम्
प्रीण्य
प्रीय
प्रूत्य
प्रेतुम्
प्रोतुम्
प्लावयितुम्
प्लाव्य
प्लुत्य
प्लुष्य
प्लूय
प्लोतुम्
प्लोषितुम्
फलितुम्
फल्य
फुल्लितुम्
फुल्ल्य
फेनायितुम्
फेन्य
बंहयितुम्
बंहितुम्
बंह्य
बध्य
बन्द्धुम्
बन्धम्
बन्धयितुम्
बन्धितुम्
बन्ध्य
बर्हितुम्
बर्हितुम्
बलितुम्
बह्य
बाधयितुम्
बाधितुम्
बाध्य
बाष्पायितुम्
बाष्प्य
बिभित्सितुम्
बिभित्स्य
बीभत्सितुम्
बीभत्स्य
बुध्य
बुभुक्षितुम्
बुभुक्ष्य
बुभुत्सितुम्
बुभुत्स्य
बुभूषितुम्
बुभूष्य
बुभोदिषितुम्
बुभोदिष्य
बुभोधिषितुम्
बुभोधिष्य
बृंहयितुम्
बृंह्य
बृह्य
बृह्य
बोद्धुम्
बोधयितुम्
बोध्य
भक्तुम्
भक्षयितुम्
भक्षय्य
भक्षितुम्
भक्ष्य
भग्य
भङ्क्तुम्
भजितुम्
भज्य
भञ्जयितुम्
भञ्ज्य
भणितुम्
भण्डितुम्
भण्ड्य
भण्य
भन्दितुम्
भन्द्य
भर्तुम्
भर्त्सयितुम्
भर्त्स्य
भर्ष्टुम्
भवितुम्
भष्टुम्
भष्य
भसितुम्
भस्य
भातुम्
भाय
भाययितुम्
भाय्य
भारयितुम्
भार्य
भावम्
भावयितुम्
भावितुम्
भाव्य
भाषितुम्
भाष्टुम्
भाष्य
भासयितुम्
भासितुम्
भास्य
भिक्षितुम्
भिक्ष्य
भिद्य
भिषज्यितुम्
भिषय
भीय
भीषयितुम्
भीष्य
भुग्य
भुज्य
भुञ्जापयितुम्
भुञ्जाप्य
भूय
भूषयितुम्
भूषितुम्
भूष्य
भृज्य
भृत्य
भृशायितुम्
भृश्य
भेतुम्
भेत्तुम्
भेदयितुम्
भेद्य
भोक्तुम्
भोक्तुम्
भोजम्
भोजयितुम्
भोज्य
भ्रंशयितुम्
भ्रंशितुम्
भ्रंश्य
भ्रमितुम्
भ्रश्य
भ्रष्टुम्
भ्राजयितुम्
भ्राजितुम्
भ्राज्य
भ्राण्य
भ्रामयितुम्
भ्राम्य
मंहयितुम्
मंहितुम्
मंह्य
मग्य
मङ्क्तुम्
मज्जयितुम्
मज्जितुम्
मज्ज्य
मण्डयितुम्
मण्डितुम्
मण्ड्य
मत्य
मथ्य
मदयितुम्
मदितुम्
मद्य
मधुस्यितुम्
मध्य
मध्वस्यितुम्
मनितुम्
मन्तुम्
मन्तूयितुम्
मन्त्य
मन्त्रयितुम्
मन्त्र्य
मन्थितुम्
मन्दयितुम्
मन्दितुम्
मन्द्य
मन्य
मर्डितुम्
मर्तुम्
मर्दयितुम्
मर्दितुम्
मर्द्य
मर्धितुम्
मर्शयितुम्
मर्श्य
मर्षयितुम्
मर्षितुम्
मर्ष्टुम्
मर्ष्य
मलिनयितुम्
मलिन्य
महयितुम्
महितुम्
महीयितुम्
मह्य
मह्य
मह्य
मांसीयितुम्
मांस्य
मातुम्
मातुम्
मातुम्
मादयितुम्
माद्य
मानयितुम्
मान्य
मापयितुम्
माप्य
माय
माय
मारयितुम्
मार्गयितुम्
मार्ग्य
मार्जयितुम्
मार्जितुम्
मार्ज्य
मार्य
मार्ष्टुम्
मालयितुम्
माल्य
माल्यगुणायितुम्
माल्यगुण्य
मित्य
मिथ्य
मिदय्य
मिन्दयितुम्
मिलितुम्
मिल्य
मिश्रयितुम्
मिश्र्य
मिष्य
मिह्य
मीमांसितुम्
मीमांस्य
मीय
मीय
मीय
मीलयितुम्
मीलितुम्
मील्य
मुकुलयितुम्
मुकुल्य
मुखरयितुम्
मुखर्य
मुच्य
मुण्डयितुम्
मुण्ड्य
मुद्य
मुद्रयितुम्
मुद्र्य
मुमुक्षितुम्
मुमुक्ष्य
मुमूर्षितुम्
मुमूर्ष्य
मुष्य
मुह्य
मूत्रयितुम्
मूत्र्य
मूर्च्छितुम्
मूर्च्छ्य
मूर्छयितुम्
मूर्छितुम्
मूर्छ्य
मूर्य
मूषितुम्
मूष्य
मृगयितुम्
मृग्य
मृज्य
मृडयितुम्
मृडय्य
मृड्य
मृत्य
मृद्य
मृध्य
मृश्य
मृषायितुम्
मृष्य
मृष्य
मेघायितुम्
मेघ्य
मेढुम्
मेतुम्
मेतुम्
मेथितुम्
मेदयितुम्
मेदितुम्
मेद्य
मेलापयितुम्
मेलाप्य
मेषितुम्
मोक्तुम्
मोक्षयितुम्
मोक्षितुम्
मोक्ष्य
मोग्धुम्
मोचयितुम्
मोचितुम्
मोच्य
मोदयितुम्
मोदितुम्
मोद्य
मोषितुम्
मोहयितुम्
मोहितुम्
मोह्य
म्नातुम्
म्नाय
म्रेडयितुम्
म्रेड्य
म्लातुम्
म्लाय
म्लिछ्य
म्लेच्छितुम्
म्लेच्छ्य
यतितुम्
यत्य
यन्तुम्
यन्त्रयितुम्
यन्त्र्य
यब्धुम्
यभ्य
यमयितुम्
यमितुम्
यम्य
यवितुम्
यवितुम्
यष्टुम्
यसितुम्
यस्य
याचितुम्
याच्य
याजयितुम्
याज्य
यातयितुम्
यातुम्
यात्य
यापयितुम्
याप्य
याय
यावयितुम्
याव्य
यियक्षितुम्
यियक्ष्य
यियतिषितुम्
यियतिष्य
यियासितुम्
यियास्य
युज्य
युत्य
युत्य
युध्य
युयुक्षितुम्
युयुक्ष्य
युयुत्सितुम्
युयुत्स्य
योक्तुम्
योजयितुम्
योज्य
योद्धुम्
रंहितुम्
रंह्य
रक्षयितुम्
रक्षितुम्
रक्ष्य
रङ्क्तुम्
रचयितुम्
रचय्य
रज्य
रञ्जयितुम्
रञ्ज्य
रणितुम्
रण्य
रथकाम्य
रथकाम्यितुम्
रदितुम्
रद्धुम्
रद्य
रधितुम्
रध्य
रन्तुम्
रन्धयितुम्
रन्ध्य
रब्धुम्
रभ्य
रमयितुम्
रमितुम्
रम्य
रय
रवितुम्
रसयितुम्
रस्य
रहयितुम्
रहय्य
राजय
राजयितुम्
राजितुम्
राजीयितुम्
राज्य
रातुम्
राद्धुम्
राधयितुम्
राध्य
रामयितुम्
राम्य
राय
रिच्य
रिप्सितुम्
रिप्स्य
रिरंसितुम्
रिरंस्य
रिरक्षिषितुम्
रिरक्षिष्य
रिराधयिषितुम्
रिराधयिष्य
रिष्य
रीय
रुच्य
रुज्य
रुत्य
रुद्य
रुध्य
रुध्य
रुरुक्षितुम्
रुरुक्ष्य
रुष्य
रुह्य
रूक्षयितुम्
रूक्ष्य
रूपयितुम्
रूप्य
रेक्तुम्
रेचयितुम्
रेच्य
रेतुम्
रेषयितुम्
रेषितुम्
रेष्टुम्
रेष्य
रोक्तुम्
रोचयितुम्
रोचितुम्
रोच्य
रोढुम्
रोदयितुम्
रोदितुम्
रोद्धुम्
रोद्धुम्
रोद्य
रोधयितुम्
रोधितुम्
रोध्य
रोपयितुम्
रोप्य
रोमन्थायितुम्
रोमन्थ्य
रोषयितुम्
रोषितुम्
रोष्टुम्
रोष्य
रोहयितुम्
रोह्य
लक्षयितुम्
लक्ष्य
लगितुम्
लग्य
लघयितुम्
लघ्य
